2006809,수도법 일부개정법률안,하태경,의원,2017-04-25,2017-05-01,환경노동위원회,2017-11-24,대안반영폐기
2006799,치료감호 등에 관한 법률 일부개정법률안,정부,정부,2017-04-20,2017-04-24,법제사법위원회,2017-11-24,대안반영폐기
2006741,다문화가족지원법 일부개정법률안,이재정,의원,2017-04-13,2017-04-14,여성가족위원회,2017-11-24,대안반영폐기
2006730,다문화가족지원법 일부개정법률안,이재정,의원,2017-04-12,2017-04-13,여성가족위원회,2017-11-24,대안반영폐기
2006729,국민기초생활 보장법 일부개정법률안,함진규,의원,2017-04-12,2017-04-13,보건복지위원회,2017-11-24,대안반영폐기
2006685,청소년 보호법 일부개정법률안,김삼화,의원,2017-04-11,2017-04-12,여성가족위원회,2017-11-24,수정가결
2006676,치료감호 등에 관한 법률 일부개정법률안,민경욱,의원,2017-04-10,2017-04-11,법제사법위원회,2017-11-24,대안반영폐기
2006668,특정 범죄자에 대한 보호관찰 및 전자장치 부착 등에 관한 법률 일부개정법률안,백혜련,의원,2017-04-10,2017-04-11,법제사법위원회,2017-11-24,대안반영폐기
2006609,채무자 회생 및 파산에 관한 법률 일부개정법률안,권성동,의원,2017-04-05,2017-04-06,법제사법위원회,2017-11-24,대안반영폐기
2006582,한국관광공사법 일부개정법률안,조훈현,의원,2017-04-04,2017-04-05,교육문화체육관광위원회,2017-11-24,대안반영폐기
2006536,광산안전법 일부개정법률안,백혜련,의원,2017-03-31,2017-04-03,산업통상자원중소벤처기업위원회,2017-11-24,수정가결
2006468,군에서의 형의 집행 및 군수용자의 처우에 관한 법률 일부개정법률안,노회찬,의원,2017-03-29,2017-03-30,법제사법위원회,2017-11-24,수정가결
2006218,효행 장려 및 지원에 관한 법률 일부개정법률안,정부,정부,2017-03-16,2017-03-17,보건복지위원회,2017-11-24,원안가결
2006186,청소년 기본법 일부개정법률안,진선미,의원,2017-03-15,2017-03-16,여성가족위원회,2017-11-24,수정가결
2006139,모자보건법 일부개정법률안,김승희,의원,2017-03-13,2017-03-14,보건복지위원회,2017-11-24,대안반영폐기
2006137,결혼중개업의 관리에 관한 법률 일부개정법률안,남인순,의원,2017-03-13,2017-03-14,여성가족위원회,2017-11-24,수정가결
2006136,양성평등기본법 일부개정법률안,남인순,의원,2017-03-13,2017-03-14,여성가족위원회,2017-11-24,수정가결
2006128,변호사법 일부개정법률안,정부,정부,2017-03-13,2017-03-14,법제사법위원회,2017-11-24,원안가결
2006127,한국법학원 육성법 일부개정법률안,정부,정부,2017-03-13,2017-03-14,법제사법위원회,2017-11-24,원안가결
2006126,한국보건복지인력개발원법 일부개정법률안,전혜숙,의원,2017-03-13,2017-03-14,보건복지위원회,2017-11-24,수정가결
2006085,계량에 관한 법률 일부개정법률안,김도읍,의원,2017-03-09,2017-03-10,산업통상자원중소벤처기업위원회,2017-11-24,대안반영폐기
2006079,사회서비스 이용 및 이용권 관리에 관한 법률 일부개정법률안,김도읍,의원,2017-03-09,2017-03-10,보건복지위원회,2017-11-24,대안반영폐기
2006070,감염병의 예방 및 관리에 관한 법률 일부개정법률안,김도읍,의원,2017-03-09,2017-03-10,보건복지위원회,2017-11-24,대안반영폐기
2006069,생명윤리 및 안전에 관한 법률 일부개정법률안,김도읍,의원,2017-03-09,2017-03-10,보건복지위원회,2017-11-24,원안가결
2006067,공중위생관리법 일부개정법률안,김도읍,의원,2017-03-09,2017-03-10,보건복지위원회,2017-11-24,대안반영폐기
2006037,환경오염피해 배상책임 및 구제에 관한 법률 일부개정법률안,함진규,의원,2017-03-07,2017-03-08,환경노동위원회,2017-11-24,수정가결
2005794,일제하 일본군위안부 피해자에 대한 생활안정지원 및 기념사업 등에 관한 법률 일부개정법률안,진선미,의원,2017-02-24,2017-02-27,여성가족위원회,2017-11-24,대안반영폐기
2005728,청소년활동 진흥법 일부개정법률안,신보라,의원,2017-02-22,2017-02-23,여성가족위원회,2017-11-24,수정가결
2005706,실내공기질 관리법 일부개정법률안,송옥주,의원,2017-02-20,2017-02-21,환경노동위원회,2017-11-24,수정가결
2005566,태권도 진흥 및 태권도공원 조성 등에 관한 법률 일부개정법률안,최연혜,의원,2017-02-10,2017-02-13,교육문화체육관광위원회,2017-11-24,원안가결
2005509,소음·진동관리법 일부개정법률안,이명수,의원,2017-02-09,2017-02-10,환경노동위원회,2017-11-24,원안가결
2005423,청소년복지 지원법 일부개정법률안,김삼화,의원,2017-02-03,2017-02-06,여성가족위원회,2017-11-24,대안반영폐기
2005395,국회의원수당 등에 관한 법률 일부개정법률안,김병관,의원,2017-02-02,2017-02-03,국회운영위원회,2017-11-24,대안반영폐기
2005394,모자보건법 일부개정법률안,최도자,의원,2017-02-02,2017-02-03,보건복지위원회,2017-11-24,대안반영폐기
2005338,제품안전기본법 일부개정법률안,우원식,의원,2017-01-31,2017-02-01,산업통상자원중소벤처기업위원회,2017-11-24,수정가결
2005332,공증인법 일부개정법률안,정부,정부,2017-01-31,2017-02-01,법제사법위원회,2017-11-24,대안반영폐기
2005304,형사소송법 일부개정법률안,백혜련,의원,2017-01-26,2017-01-31,법제사법위원회,2017-11-24,수정가결
2005285,특정 범죄자에 대한 보호관찰 및 전자장치 부착 등에 관한 법률 일부개정법률안,정부,정부,2017-01-25,2017-01-26,법제사법위원회,2017-11-24,대안반영폐기
2005218,지역신문발전지원 특별법 일부개정법률안,김해영,의원,2017-01-23,2017-01-24,교육문화체육관광위원회,2017-11-24,원안가결
2005177,무형문화재 보전 및 진흥에 관한 법률 일부개정법률안,이용호,의원,2017-01-20,2017-01-23,교육문화체육관광위원회,2017-11-24,수정가결
2005116,법원조직법 일부개정법률안,김진태,의원,2017-01-16,2017-01-17,법제사법위원회,2017-11-24,대안반영폐기
2005003,에너지산업클러스터의 지정 및 육성에 관한 특별법안,장병완,의원,2017-01-06,2017-01-09,산업통상자원중소벤처기업위원회,2017-11-24,수정가결
2004874,성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안,김삼화,의원,2016-12-30,2017-01-02,법제사법위원회,2017-11-24,대안반영폐기
2004821,수도법 일부개정법률안,강병원,의원,2016-12-30,2017-01-02,환경노동위원회,2017-11-24,대안반영폐기
2004778,법무사법 일부개정법률안,김도읍,의원,2016-12-29,2016-12-30,법제사법위원회,2017-11-24,수정가결
2004671,석유 및 석유대체연료 사업법 일부개정법률안,정부,정부,2016-12-28,2016-12-29,산업통상자원중소벤처기업위원회,2017-11-24,대안반영폐기
2004563,도시가스사업법 일부개정법률안,손금주,의원,2016-12-22,2016-12-23,산업통상자원중소벤처기업위원회,2017-11-24,수정가결
2004549,계량에 관한 법률 일부개정법률안,정부,정부,2016-12-22,2016-12-23,산업통상자원중소벤처기업위원회,2017-11-24,대안반영폐기
2004473,사회적 참사의 진상규명 및 안전사회 건설 등을 위한 특별법안,박주민,의원,2016-12-19,2016-12-20,환경노동위원회,2017-11-24,수정가결
2004427,법원조직법 일부개정법률안,정갑윤,의원,2016-12-16,2016-12-19,법제사법위원회,2017-11-24,대안반영폐기
2004048,변호사시험법 일부개정법률안,황주홍,의원,2016-12-01,2016-12-02,법제사법위원회,2017-11-24,대안반영폐기
2003800,야생생물 보호 및 관리에 관한 법률 일부개정법률안,한정애,의원,2016-11-23,2016-11-24,환경노동위원회,2017-11-24,대안반영폐기
2003757,공익법인의 설립·운영에 관한 법률 일부개정법률안,박광온,의원,2016-11-21,2016-11-22,법제사법위원회,2017-11-24,수정가결
2003755,출입국관리법 일부개정법률안,박대출,의원,2016-11-21,2016-11-22,법제사법위원회,2017-11-24,수정가결
2003621,인공조명에 의한 빛공해 방지법 일부개정법률안,임이자,의원,2016-11-16,2016-11-17,환경노동위원회,2017-11-24,원안가결
2003564,한부모가족지원법 일부개정법률안,김관영,의원,2016-11-14,2016-11-15,여성가족위원회,2017-11-24,수정가결
2003463,정부법무공단법 일부개정법률안,서영교,의원,2016-11-10,2016-11-11,법제사법위원회,2017-11-24,원안가결
2003462,공증인법 일부개정법률안,서영교,의원,2016-11-10,2016-11-11,법제사법위원회,2017-11-24,대안반영폐기
2003397,형법 일부개정법률안,금태섭,의원,2016-11-08,2016-11-09,법제사법위원회,2017-11-24,대안반영폐기
2003288,일제하 일본군위안부 피해자에 대한 생활안정지원 및 기념사업 등에 관한 법률 일부개정법률안,심재권,의원,2016-11-04,2016-11-07,여성가족위원회,2017-11-24,대안반영폐기
