2002673,항공사업법 일부개정법률안,함진규,의원,2016-10-18,2016-10-19,국토교통위원회,2016-11-17,원안가결
2002670,도시가스사업법 일부개정법률안,장병완,의원,2016-10-18,2016-10-19,산업통상자원위원회,2016-11-17,대안반영폐기
2002658,의료기기법 일부개정법률안,김승희,의원,2016-10-17,2016-10-18,보건복지위원회,2016-11-17,대안반영폐기
2002650,여객자동차 운수사업법 일부개정법률안,이찬열,의원,2016-10-17,2016-10-18,국토교통위원회,2016-11-17,대안반영폐기
2002645,의료기기법 일부개정법률안,오제세,의원,2016-10-14,2016-10-17,보건복지위원회,2016-11-17,대안반영폐기
2002596,응급의료에 관한 법률 일부개정법률안,김명연,의원,2016-10-07,2016-10-11,보건복지위원회,2016-11-17,대안반영폐기
2002583,접경지역 지원 특별법 일부개정법률안,정부,정부,2016-10-05,2016-10-06,안전행정위원회,2016-11-17,수정가결
2002572,국군부대의 「국제연합 레바논 평화유지군UNIFIL」 파견연장 동의안,정부,정부,2016-10-04,2016-10-05,외교통일위원회,2016-11-17,원안가결
2002571,국군부대의 「국제연합 남수단 임무단UNMISS」 파견연장 동의안,정부,정부,2016-10-04,2016-10-05,외교통일위원회,2016-11-17,원안가결
2002544,중견기업 성장촉진 및 경쟁력 강화에 관한 특별법 일부개정법률안,김규환,의원,2016-09-30,2016-10-04,산업통상자원위원회,2016-11-17,수정가결
2002519,여객자동차 운수사업법 일부개정법률안,함진규,의원,2016-09-29,2016-09-30,국토교통위원회,2016-11-17,대안반영폐기
2002482,국민건강증진법 일부개정법률안,박인숙,의원,2016-09-27,2016-09-28,보건복지위원회,2016-11-17,대안반영폐기
2002464,감염병의 예방 및 관리에 관한 법률 일부개정법률안,박인숙,의원,2016-09-23,2016-09-26,보건복지위원회,2016-11-17,대안반영폐기
2002443,산업집적활성화 및 공장설립에 관한 법률 일부개정법률안,이채익,의원,2016-09-23,2016-09-26,산업통상자원위원회,2016-11-17,수정가결
2002431,에너지이용 합리화법 일부개정법률안,최연혜,의원,2016-09-23,2016-09-26,산업통상자원위원회,2016-11-17,수정가결
2002430,산업표준화법 일부개정법률안,최연혜,의원,2016-09-23,2016-09-26,산업통상자원위원회,2016-11-17,대안반영폐기
2002394,전통시장 및 상점가 육성을 위한 특별법 일부개정법률안,곽대훈,의원,2016-09-21,2016-09-22,산업통상자원위원회,2016-11-17,대안반영폐기
2002384,주민등록법 일부개정법률안,정부,정부,2016-09-21,2016-09-22,안전행정위원회,2016-11-17,수정가결
2002381,국민건강증진법 일부개정법률안,곽대훈,의원,2016-09-21,2016-09-22,보건복지위원회,2016-11-17,대안반영폐기
2002379,본인서명사실 확인 등에 관한 법률 일부개정법률안,정부,정부,2016-09-21,2016-09-22,안전행정위원회,2016-11-17,원안가결
2002358,특허법 일부개정법률안,김수민,의원,2016-09-21,2016-09-22,산업통상자원위원회,2016-11-17,수정가결
2002341,장애아동 복지지원법 일부개정법률안,김광수,의원,2016-09-20,2016-09-21,보건복지위원회,2016-11-17,원안가결
2002340,사회서비스 이용 및 이용권 관리에 관한 법률 일부개정법률안,김광수,의원,2016-09-20,2016-09-21,보건복지위원회,2016-11-17,원안가결
2002337,사회복지사업법 일부개정법률안,김광수,의원,2016-09-20,2016-09-21,보건복지위원회,2016-11-17,원안가결
2002318,주택법 일부개정법률안,이우현,의원,2016-09-19,2016-09-20,국토교통위원회,2016-11-17,대안반영폐기
2002310,마약류 관리에 관한 법률 일부개정법률안,황주홍,의원,2016-09-13,2016-09-19,보건복지위원회,2016-11-17,대안반영폐기
2002298,산업표준화법 일부개정법률안,이찬열,의원,2016-09-12,2016-09-13,산업통상자원위원회,2016-11-17,대안반영폐기
2002293,전통시장 및 상점가 육성을 위한 특별법 일부개정법률안,조원진,의원,2016-09-12,2016-09-13,산업통상자원위원회,2016-11-17,대안반영폐기
2002263,식품안전기본법 일부개정법률안,정부,정부,2016-09-09,2016-09-12,보건복지위원회,2016-11-17,원안가결
2002262,여객자동차 운수사업법 일부개정법률안,이우현,의원,2016-09-09,2016-09-12,국토교통위원회,2016-11-17,대안반영폐기
2002260,의료기사 등에 관한 법률 일부개정법률안,정춘숙,의원,2016-09-09,2016-09-12,보건복지위원회,2016-11-17,대안반영폐기
