2015345,산림보호법 일부개정법률안,이완영,의원,2018-09-06,2018-09-07,농림축산식품해양수산위원회,2018-12-27,수정가결
2015343,국민건강보험법 일부개정법률안,이언주,의원,2018-09-05,2018-09-06,보건복지위원회,2018-12-27,대안반영폐기
2015315,자살예방 및 생명존중문화 조성을 위한 법률 일부개정법률안,기동민,의원,2018-09-04,2018-09-05,보건복지위원회,2018-12-27,대안반영폐기
2015290,자살예방 및 생명존중문화 조성을 위한 법률 일부개정법률안,기동민,의원,2018-09-03,2018-09-04,보건복지위원회,2018-12-27,대안반영폐기
2015279,천연물신약 연구개발 촉진법 일부개정법률안,김상희,의원,2018-09-03,2018-09-04,보건복지위원회,2018-12-27,원안가결
2015229,선주상호보험조합법 일부개정법률안,김종회,의원,2018-08-31,2018-09-03,농림축산식품해양수산위원회,2018-12-27,대안반영폐기
2015200,식품위생법 일부개정법률안,정부,정부,2018-08-31,2018-09-03,보건복지위원회,2018-12-27,대안반영폐기
2015196,국립묘지의 설치 및 운영에 관한 법률 일부개정법률안,정부,정부,2018-08-30,2018-08-31,정무위원회,2018-12-27,대안반영폐기
2015162,응급의료에 관한 법률 일부개정법률안,윤일규,의원,2018-08-30,2018-08-31,보건복지위원회,2018-12-27,대안반영폐기
2015136,겨레말큰사전남북공동편찬사업회법 일부개정법률안,이수혁,의원,2018-08-29,2018-08-30,외교통일위원회,2018-12-27,수정가결
2015129,응급의료에 관한 법률 일부개정법률안,김광수,의원,2018-08-29,2018-08-30,보건복지위원회,2018-12-27,대안반영폐기
2015116,근로기준법 일부개정법률안,임이자,의원,2018-08-28,2018-08-29,환경노동위원회,2018-12-27,대안반영폐기
2015011,소나무재선충병 방제특별법 일부개정법률안,정부,정부,2018-08-23,2018-08-24,농림축산식품해양수산위원회,2018-12-27,대안반영폐기
2014953,농업·농촌 및 식품산업 기본법 일부개정법률안,박주현,의원,2018-08-20,2018-08-21,농림축산식품해양수산위원회,2018-12-27,대안반영폐기
2014926,응급의료에 관한 법률 일부개정법률안,기동민,의원,2018-08-17,2018-08-20,보건복지위원회,2018-12-27,대안반영폐기
2014868,자살예방 및 생명존중문화 조성을 위한 법률 일부개정법률안,송석준,의원,2018-08-14,2018-08-17,보건복지위원회,2018-12-27,대안반영폐기
2014865,모자보건법 일부개정법률안,이찬열,의원,2018-08-14,2018-08-17,보건복지위원회,2018-12-27,대안반영폐기
2014859,선원법 일부개정법률안,황주홍,의원,2018-08-13,2018-08-14,농림축산식품해양수산위원회,2018-12-27,대안반영폐기
2014841,선원법 일부개정법률안,황주홍,의원,2018-08-10,2018-08-13,농림축산식품해양수산위원회,2018-12-27,대안반영폐기
2014797,청년고용촉진 특별법 일부개정법률안,김광수,의원,2018-08-07,2018-08-08,환경노동위원회,2018-12-27,대안반영폐기
2014796,노인복지법 일부개정법률안,성일종,의원,2018-08-07,2018-08-08,보건복지위원회,2018-12-27,대안반영폐기
2014692,식품산업진흥법 일부개정법률안,정부,정부,2018-07-31,2018-08-02,농림축산식품해양수산위원회,2018-12-27,원안가결
2014687,해양수산생명자원의 확보·관리 및 이용 등에 관한 법률 일부개정법률안,정부,정부,2018-07-31,2018-08-02,농림축산식품해양수산위원회,2018-12-27,대안반영폐기
2014669,선박의 입항 및 출항 등에 관한 법률 일부개정법률안,정부,정부,2018-07-31,2018-08-02,농림축산식품해양수산위원회,2018-12-27,대안반영폐기
2014662,지역보건법 일부개정법률안,정부,정부,2018-07-31,2018-08-02,보건복지위원회,2018-12-27,대안반영폐기
2014661,정신건강증진 및 정신질환자 복지서비스 지원에 관한 법률 일부개정법률안,정부,정부,2018-07-31,2018-08-02,보건복지위원회,2018-12-27,대안반영폐기
